dataset,case_id,fault_type,root_service,fold,M,L,TE,TL,M+L,M+TE,M+TL,L+TE,L+TL,TE+TL,FULL-M,FULL-L,FULL-TE,FULL-TL,FULL-Z2
re2tt,re2tt-cb1f1df38c99005a,socket,ts-auth-service,2,1,18,9,10,1,1,1,18,11,10,11,1,1,1,1
re2tt,re2tt-cb3381bf9ed05034,loss,ts-travel-service,1,17,8,60,50,12,17,13,8,3,50,3,13,8,12,8
re2tt,re2tt-cc6c772d4116d054,delay,ts-auth-service,2,19,4,9,9,12,19,19,4,2,9,2,19,11,12,11
re2tt,re2tt-cdf514b035f34990,disk,ts-order-service,0,1,12,35,31,1,1,1,12,7,31,7,1,1,1,1
re2tt,re2tt-d0a74725c5d96362,delay,ts-order-service,2,1,5,35,34,1,1,1,5,3,34,3,1,1,1,1
re2tt,re2tt-d14727a3c74e9768,socket,ts-route-service,2,1,13,47,42,1,1,1,13,4,42,4,1,1,1,1
re2tt,re2tt-d4b1d66aaaa1a728,cpu,ts-order-service,1,1,6,35,32,1,1,1,6,2,32,2,1,1,1,1
re2tt,re2tt-d83931768111dc58,disk,ts-travel-service,1,1,4,60,55,1,1,1,4,2,55,2,1,1,1,1
re2tt,re2tt-e3f89de859062727,cpu,ts-travel-service,2,2,13,60,50,2,2,2,13,9,50,9,2,2,2,2
re2tt,re2tt-e44ccb97e7cc1570,cpu,ts-auth-service,0,1,2,9,9,1,1,1,2,1,9,1,1,1,1,1
re2tt,re2tt-e4be9aa8e249ddf3,delay,ts-order-service,0,6,2,35,31,6,6,5,2,2,31,2,5,4,6,4
re2tt,re2tt-e76e500ff655313b,delay,ts-auth-service,1,42,12,9,9,34,42,40,12,4,9,4,40,27,34,27
re2tt,re2tt-e9071bdee1904785,loss,ts-travel-service,2,4,11,60,50,3,4,4,11,10,50,10,4,4,3,4
re2tt,re2tt-ee2421859dfb0792,loss,ts-order-service,1,2,13,35,33,5,2,1,13,8,33,8,1,3,5,3
re2tt,re2tt-f09cbf3636ad02de,cpu,ts-travel-service,1,1,1,60,50,1,1,1,1,2,50,2,1,1,1,1
re2tt,re2tt-f1aa29dd3ba2343f,socket,ts-train-service,2,1,59,57,60,1,1,1,59,57,60,57,1,1,1,1
re2tt,re2tt-f5512e2434f96386,mem,ts-route-service,1,1,11,47,42,1,1,1,11,8,42,8,1,1,1,1
re2tt,re2tt-f578fe138f6d4c7a,mem,ts-travel-service,2,1,10,60,50,1,1,1,10,5,50,5,1,1,1,1
re2tt,re2tt-fa81461ebec56b42,disk,ts-train-service,2,1,59,57,48,1,1,1,59,49,48,49,1,1,1,1
re2tt,re2tt-fb57d883cd727c81,delay,ts-travel-service,2,9,1,60,50,4,9,5,1,1,50,1,5,2,4,2
re2tt,re2tt-fc53b7fb52199fb7,mem,ts-order-service,2,1,2,35,36,1,1,1,2,3,36,3,1,1,1,1
re2tt,re2tt-fd20b1f93a6ff4c0,disk,ts-route-service,1,1,14,47,44,1,1,1,14,10,44,10,1,1,1,1
re2tt,re2tt-fe28a6c0dbd7d892,cpu,ts-order-service,0,2,1,35,31,1,2,2,1,2,31,2,2,1,1,1
re2tt,re2tt-ffda523857bbf5c2,loss,ts-train-service,2,1,59,57,48,2,1,1,59,51,48,51,1,2,2,2
